PositionX [?m],PositionY [?m],Time [s]
12.451389,14.101389,03:22.8
12.366667,14.091667,03:23.8
12.483333,14.1,03:24.8
12.426812,14.06087,03:25.8
12.450725,14.076812,03:26.9
12.35,14.1,03:27.9
12.459333,14.043333,03:28.8
12.352,14.036,03:29.8
12.466667,14.025,03:30.9
12.452,14.036,03:31.8
12.482609,14.076812,03:32.8
12.506522,14.005072,03:33.8
12.481333,14.036,03:34.8
12.466667,14.025,03:35.8
12.388095,14.003175,03:36.8
12.431746,13.959524,03:37.8
12.466667,14.025,03:38.8
12.466667,14.025,03:39.8
12.466667,14.025,03:40.8
12.466667,13.933333,03:41.8
12.558333,13.883333,03:42.8
12.545238,14.003175,03:43.8
12.558333,14.025,03:44.8
12.571429,14.003175,03:45.8
12.554348,14.052899,03:46.8
12.520139,14.040278,03:47.8
12.571429,14.003175,03:48.8
12.65,14.025,03:49.8
12.506522,14.06087,03:50.8
12.545238,14.046825,03:51.8
12.558333,14.025,03:52.8
12.596528,14.009722,03:53.8
12.426812,13.98913,03:54.8
12.438462,14.017949,03:55.8
12.388095,14.046825,03:56.8
12.545238,14.046825,03:57.8
12.438462,14.053205,03:58.8
12.44375,14.055556,03:59.8
12.466667,14.025,04:00.9
12.54386,14.135965,04:01.8
12.481333,14.043333,04:02.8
12.466667,14.142857,04:03.8
12.466667,14.116667,04:04.8
12.510667,14.124,04:05.9
12.474638,14.188406,04:06.8
12.5,14.1,04:07.8
12.396825,14.134127,04:08.8
12.503333,14.072667,04:09.8
12.483333,14.108333,04:10.8
12.466667,14.116667,04:11.8
12.459028,14.032639,04:12.8
12.483333,14.033333,04:13.8
12.475833,14.135,04:14.8
12.495614,14.045614,04:15.8
12.366667,14.016667,04:16.9
12.385,14.1075,04:17.8
12.466667,13.966667,04:18.9
12.366667,14.016667,04:19.8
12.586232,14.128261,04:20.9
12.549167,14.089167,04:21.9
12.420139,14.063194,04:22.8
12.640833,14.135,04:23.8
12.458333,14.157407,04:24.8
12.516667,14.083333,04:25.8
12.416667,14.116667,04:26.8
12.517593,14.04537,04:27.8
12.483333,14.108333,04:28.8
12.62381,14.142857,04:29.8
12.6,14.116667,04:30.8
12.580159,14.125397,04:31.9
12.621053,14.145614,04:32.8
12.475309,14.164198,04:33.8
12.6225,14.089167,04:34.9
12.383333,14.133333,04:35.9
12.475397,14.081746,04:36.8
12.489583,14.055556,04:37.8
12.558333,14.025,04:38.8
12.558333,14.066667,04:39.8
12.485,14.125833,04:40.8
12.405556,14.116667,04:41.8
12.448333,14.125833,04:42.8
12.448333,14.098333,04:43.8
12.483333,14.133333,04:44.8
12.466667,14.184211,04:45.8
12.517593,14.137037,04:46.9
12.54386,14.135965,04:47.8
12.616667,14.191667,04:48.8
12.54386,14.135965,04:49.8
12.466667,14.116667,04:50.8
12.65,14.142857,04:51.8
12.558333,14.208333,04:52.8
12.538406,14.156522,04:53.8
12.609259,14.208333,04:54.8
12.594203,14.260145,04:55.8
12.558333,14.116667,04:56.8
12.571429,14.195238,04:57.8
12.530128,14.180128,04:58.8
12.445098,14.192157,04:59.8
12.482609,14.196377,05:00.9
12.538406,14.156522,05:01.8
12.427778,14.139583,05:02.8
12.547333,14.153333,05:03.9
12.541667,14.175,05:04.9
12.498551,14.116667,05:05.8
12.366667,14.116667,05:06.8
12.427778,14.139583,05:07.8
12.508333,14.141667,05:08.8
12.448333,14.125833,05:09.9
12.476316,14.126316,05:10.8
12.508333,14.166667,05:11.8
12.437719,14.145614,05:12.8
12.485965,14.19386,05:13.8
12.420833,14.125833,05:14.8
12.342,14.197333,05:15.8
12.3,14.133333,05:16.8
12.375,14.208333,05:17.8
12.431746,14.142857,05:18.9
12.431746,14.107937,05:19.8
12.466667,14.148551,05:20.8
12.448333,14.125833,05:21.8
12.405556,14.09375,05:22.8
12.4575,14.135,05:23.8
12.45,14.1,05:24.8
12.358824,14.138235,05:25.8
12.405556,14.142857,05:26.8
12.420833,14.125833,05:27.8
12.414286,14.099206,05:28.8
12.466667,14.116667,05:29.8
12.434783,14.116667,05:30.8
12.359722,14.109028,05:31.8
12.361905,14.038095,05:32.8
12.393333,14.1075,05:33.8
12.358824,14.095098,05:34.8
12.431746,14.107937,05:35.8
12.431746,14.107937,05:36.8
12.3,14.133333,05:37.8
12.3,14.133333,05:38.8
12.359722,14.109028,05:39.8
12.394928,14.156522,05:40.8
12.344444,14.116667,05:41.8
12.457937,14.256349,05:42.8
12.447368,14.19386,05:43.8
12.3,14.283333,05:44.9
12.408772,14.251754,05:45.9
12.296825,14.160317,05:46.8
12.360526,13.997368,05:47.8
12.289474,14.135965,05:48.9
12.389474,14.135965,05:49.8
12.483333,14.125,05:50.9
12.415333,14.050667,05:51.9
12.318254,14.107937,05:52.8
12.283333,14.116667,05:53.8
12.391176,14.138235,05:54.8
12.474638,14.188406,05:55.8
12.4025,14.015833,05:56.8
12.45,14.1,05:57.8
12.431746,13.942063,05:58.8
12.482609,14.036957,05:59.8
12.466667,14.025,06:00.8
12.483333,14.133333,06:01.8
12.45,14.133333,06:02.8
12.483333,14.1,06:03.9
12.4575,14.070833,06:04.9
12.459028,14.063194,06:05.9
12.391176,14.027451,06:06.8
12.391176,14.095098,06:07.8
12.417308,14.074359,06:08.8
12.44375,14.154861,06:09.8
12.408,14.058,06:10.8
12.466667,14.208333,06:11.8
12.417308,14.074359,06:12.8
12.432716,14.082716,06:13.8
12.375,14.025,06:14.8
12.4,14.141667,06:15.8
12.386,14.131333,06:16.8
12.506522,14.06087,06:17.8
12.40119,14.044643,06:18.8
12.394928,14.100725,06:19.8
12.375,14.116667,06:20.8
12.329167,14.125833,06:21.8
12.358333,14.15,06:22.8
12.45,14.133333,06:23.8
